质心坐标：(99.732169044127446, 1274.4584722037062)面积:7501
质心坐标：(100.91768967599114, 5498.0823774065875)面积:14907
质心坐标：(108.77768932232063, 5149.6429495472184)面积:10049
质心坐标：(119.45791139240507, 1546.7240506329115)面积:3160
质心坐标：(161.86511573258136, 9668.9796733638814)面积:8511
质心坐标：(155.81016878516357, 9581.6518024588459)面积:4799
质心坐标：(176.08577533577534, 6163.8888888888887)面积:3276
质心坐标：(213.48314259201979, 11836.475100525828)面积:3233
质心坐标：(225.87562972292193, 11934.164987405542)面积:3176
质心坐标：(249.73467173087357, 11484.544221378188)面积:3686
质心坐标：(393.34608451832565, 900.25005007009815)面积:9986
质心坐标：(403.31392405063292, 6115.6740506329115)面积:3160
质心坐标：(528.48792339574106, 9246.2546805773909)面积:6997
质心坐标：(677.06310547141493, 3059.426115431846)面积:14658
质心坐标：(781.63212253214363, 7041.2325932691629)面积:28466
质心坐标：(708.93802647412758, 4084.7512033694343)面积:9972
质心坐标：(749.3872906826964, 186.98711893516531)面积:4658
质心坐标：(812.26007326007323, 14761.489997182305)面积:3549
质心坐标：(780.37185319987873, 1413.0576281468002)面积:3297
质心坐标：(849.06279178338002, 9321.4652972300028)面积:12852
质心坐标：(890.11011213253869, 14898.025255076271)面积:19798
质心坐标：(900.07219973009444, 12566.074448942871)面积:4446
质心坐标：(934.35942028985505, 7233.3515527950312)面积:4830
质心坐标：(920.31872470634687, 14761.648800710689)面积:10131
质心坐标：(966.80473829910511, 7070.45722011202)面积:15533
质心坐标：(920.35901121011784, 11153.607645875252)面积:3479
质心坐标：(1513.83264309228, 4571.1430391844533)面积:9417
质心坐标：(1020.999523014548, 13111.236823276889)面积:4193
质心坐标：(1511.1178777869529, 4750.4080924855489)面积:24220
质心坐标：(1197.2659618862151, 2626.3755737932952)面积:7189
质心坐标：(1630.594325913966, 2031.674870257179)面积:43355
质心坐标：(1344.7648602545598, 4905.1413200367406)面积:7621
质心坐标：(1399.8744099797707, 10755.59777478085)面积:5932
质心坐标：(1440.6890056942618, 10991.630968024529)面积:4566
质心坐标：(1485.6642046953311, 4497.3191769981531)面积:3791
质心坐标：(1482.6885451505016, 13514.235158862877)面积:4784
质心坐标：(1511.5775312066573, 10188.595006934813)面积:3605
质心坐标：(1568.8816105399248, 2773.4561965154221)面积:16243
质心坐标：(1529.4501372369625, 7204.1393717596829)面积:3279
质心坐标：(1637.0697831978321, 13523.782689701897)面积:5904
质心坐标：(1668.3386233269598, 3014.7652007648185)面积:5230
质心坐标：(1676.9907197827072, 14555.114305115438)面积:4418
质心坐标：(1682.1132930513595, 11716.122140699181)面积:4634
质心坐标：(1694.7196584671681, 9876.3659280341526)面积:4919
质心坐标：(1753.5176361386139, 9095.7914603960398)面积:3232
质心坐标：(1798.2756550559691, 7931.7665561878557)面积:15991
质心坐标：(1775.0442233278054, 8899.8463239358771)面积:3618
质心坐标：(1842.4997682395476, 14643.685362009826)面积:10787
质心坐标：(1873.0701379617267, 11582.145171339564)面积:11235
质心坐标：(1910.533435582822, 5313.078527607362)面积:3260
质心坐标：(1903.3039282316161, 13944.358162294413)面积:7357
质心坐标：(1924.3256582143204, 8935.106285825319)面积:10293
质心坐标：(1925.6870308050738, 12732.397359565104)面积:3863
质心坐标：(1927.0004044898371, 12884.547375872182)面积:9889
质心坐标：(1995.9764848484849, 9092.9541818181824)面积:4125
质心坐标：(1974.1225136927069, 11923.406399538771)面积:17345
质心坐标：(2033.1971140375456, 12282.848136732979)面积:7138
质心坐标：(2026.6142204454598, 13841.718446601943)面积:3502
质心坐标：(2067.3785647132559, 7652.4785333751179)面积:3191
质心坐标：(2095.9739251592355, 13871.701632165605)面积:5024
质心坐标：(2126.2849893599605, 9809.0854477001139)面积:6109
质心坐标：(2204.5509022812394, 4945.6649642492339)面积:5874
质心坐标：(2244.3620313429874, 2216.9279904780797)面积:5041
质心坐标：(2273.2600903614457, 9038.5268072289164)面积:6640
质心坐标：(2268.4857979502194, 5664.6111273792094)面积:3415
质心坐标：(2286.4402562207442, 2968.8253264350824)面积:4059
质心坐标：(2357.3429560446739, 4017.620730193978)面积:15311
质心坐标：(2324.3716173694147, 9413.0361862806803)面积:3178
质心坐标：(2419.7353461841071, 1786.8922108575925)面积:10168
质心坐标：(2402.3291062801932, 2094.919384057971)面积:3312
质心坐标：(2421.3075977882449, 2165.1634241245138)面积:4883
质心坐标：(2455.1798385383472, 8229.8399192691741)面积:9414
